Kline_open_time,Open_price,High_price,Low_price,Close_price,Volume,Kline_close_time,Quote_asset_volume,Number_of_trades,buy_base_volume,buy_quote_volume,ignore
1711124100000,63650.88000000,63759.14000000,63214.03000000,63500.22000000,606.21184000,1711124999999,38454144.68971490,27327,312.80058000,19842479.31327390,0
1711123200000,63877.04000000,63883.97000000,63320.00000000,63650.88000000,767.09219000,1711124099999,48763040.45423960,36168,358.33331000,22778967.22434020,0
1711122300000,63911.77000000,64150.00000000,63781.84000000,63877.04000000,637.74827000,1711123199999,40800637.76411160,28370,315.27313000,20172007.13116800,0
1711121400000,64087.27000000,64341.89000000,63669.41000000,63911.77000000,1270.72369000,1711122299999,81315707.41360300,50010,675.35613000,43220034.58831730,0
1711120500000,63305.69000000,64096.35000000,63133.60000000,64087.28000000,1121.76617000,1711121399999,71359186.77495530,42598,663.56887000,42223005.40655730,0
1711119600000,62739.99000000,63560.00000000,62634.58000000,63305.69000000,1065.45209000,1711120499999,67292377.02691370,37935,632.23915000,39940141.30403300,0
1711118700000,62917.62000000,63088.48000000,62601.11000000,62739.99000000,1019.13330000,1711119599999,64026810.59298680,36259,438.18085000,27530565.52252280,0
1711117800000,63083.86000000,63280.00000000,62850.01000000,62917.62000000,790.39114000,1711118699999,49866426.70799680,32883,383.55090000,24201039.86177940,0
1711116900000,63048.95000000,63300.00000000,62700.02000000,63083.86000000,1374.20055000,1711117799999,86564645.79167130,54056,631.34917000,39771928.07707100,0
1711116000000,63058.61000000,63465.30000000,63018.35000000,63048.95000000,1291.28625000,1711116899999,81680035.70231390,46851,621.84592000,39332950.74673890,0
1711115100000,63630.01000000,63684.00000000,62820.00000000,63058.61000000,2116.59758000,1711115999999,133781743.98557240,68917,916.50371000,57937758.86946890,0
1711114200000,64196.00000000,64238.74000000,63542.85000000,63630.00000000,1492.70161000,1711115099999,95156601.16870760,48575,709.36362000,45216735.72433420,0
1711113300000,64089.99000000,64322.00000000,63800.00000000,64196.00000000,702.60200000,1711114199999,45025427.48691600,31896,325.53199000,20866327.24111470,0
1711112400000,64260.51000000,64433.27000000,64060.28000000,64090.00000000,467.64494000,1711113299999,30046247.15294050,26743,232.19129000,14922155.08067750,0
1711111500000,64555.52000000,64555.53000000,64235.88000000,64260.51000000,408.28520000,1711112399999,26283083.87337840,20297,156.86068000,10097645.99571980,0
1711110600000,64493.99000000,64560.00000000,64228.34000000,64555.53000000,401.65771000,1711111499999,25873690.95628250,22346,181.64074000,11701578.47636690,0
1711109700000,64518.00000000,64585.99000000,64310.71000000,64494.00000000,540.55985000,1711110599999,34849730.00730010,23070,222.20853000,14325111.95446140,0
1711108800000,64233.90000000,64674.06000000,63924.42000000,64518.00000000,1078.28649000,1711109699999,69381675.89483620,45002,555.87236000,35782082.09736440,0
1711107900000,64717.61000000,64763.90000000,64065.72000000,64233.90000000,1033.71599000,1711108799999,66491519.57853470,39446,421.89071000,27127592.06086910,0
1711107000000,64833.00000000,64940.00000000,64620.52000000,64717.60000000,403.68770000,1711107899999,26141754.88323470,21048,194.05471000,12565483.70908620,0
1711106100000,64838.32000000,64956.00000000,64720.00000000,64833.00000000,460.47332000,1711106999999,29851489.56934680,26320,201.63334000,13072303.51418980,0
1711105200000,64656.37000000,64894.00000000,64532.00000000,64838.31000000,638.81011000,1711106099999,41355146.41913920,29032,299.04161000,19364363.40334910,0
1711104300000,64863.99000000,64996.61000000,64540.01000000,64656.37000000,593.34748000,1711105199999,38429262.89886000,32013,247.14976000,16009491.06018580,0
1711103400000,64851.62000000,64966.92000000,64619.95000000,64863.99000000,620.98266000,1711104299999,40255467.96179250,37321,304.47000000,19739651.14905980,0
1711102500000,65163.99000000,65283.57000000,64666.00000000,64851.62000000,1091.64801000,1711103399999,70949045.36101390,44452,475.86354000,30928126.20520980,0
1711101600000,65482.00000000,65600.00000000,65158.00000000,65163.99000000,581.57869000,1711102499999,38010320.42723960,26494,234.08187000,15304286.47528560,0
1711100700000,65440.85000000,65551.71000000,65344.41000000,65481.99000000,428.77047000,1711101599999,28061553.48867620,23264,183.59363000,12015977.63751780,0
1711099800000,65937.52000000,65955.15000000,65384.86000000,65440.85000000,696.33512000,1711100699999,45687570.68775220,29832,284.31264000,18652151.23624440,0
1711098900000,65960.00000000,66053.70000000,65936.01000000,65937.52000000,181.61150000,1711099799999,11984907.71500410,15799,82.55872000,5448552.53932780,0
1711098000000,65858.68000000,66042.00000000,65856.38000000,65959.99000000,242.43498000,1711098899999,15994810.46253770,15964,121.47763000,8014739.42697350,0
1711097100000,65932.00000000,66069.24000000,65805.23000000,65858.68000000,448.71990000,1711097999999,29584208.17096860,20230,224.12526000,14777013.34179390,0
1711096200000,66264.40000000,66300.00000000,65861.26000000,65932.00000000,413.84412000,1711097099999,27336994.27826340,23551,172.42655000,11389421.05327130,0
1711095300000,66287.92000000,66363.10000000,66170.00000000,66264.41000000,255.19229000,1711096199999,16911949.57359240,16170,135.20727000,8960583.35353260,0
1711094400000,66178.01000000,66287.92000000,66146.37000000,66287.92000000,273.61174000,1711095299999,18116127.87923230,19227,167.50216000,11090769.85163490,0
1711093500000,66279.21000000,66280.00000000,66130.00000000,66178.01000000,267.46551000,1711094399999,17707614.76048230,13462,105.97239000,7014917.79609430,0
1711092600000,66259.99000000,66338.52000000,66200.00000000,66279.21000000,248.75234000,1711093499999,16486272.86451150,20283,146.34918000,9699363.06422840,0
1711091700000,66294.80000000,66299.99000000,66124.50000000,66259.99000000,232.35662000,1711092599999,15386382.57849230,16859,97.80479000,6476537.74886070,0
1711090800000,66448.08000000,66448.09000000,66217.74000000,66294.79000000,297.70712000,1711091699999,19735179.70965810,17561,132.49718000,8782997.71338550,0
1711089900000,66417.26000000,66448.09000000,66325.99000000,66448.08000000,296.28894000,1711090799999,19671044.63647010,19479,108.01528000,7171338.53125660,0
1711089000000,66412.98000000,66510.00000000,66305.79000000,66417.27000000,339.78912000,1711089899999,22558266.07321940,21008,167.53602000,11122837.06106200,0
1711088100000,66543.00000000,66616.33000000,66373.72000000,66412.97000000,429.48520000,1711088999999,28537710.21482490,27784,205.43081000,13649635.82946770,0
1711087200000,66430.01000000,66649.62000000,66337.77000000,66543.01000000,570.86170000,1711088099999,37956838.52763490,26870,354.33667000,23558680.17798820,0
1711086300000,66278.00000000,66434.48000000,66231.04000000,66430.01000000,350.73261000,1711087199999,23262857.65085320,16693,203.17152000,13476371.53455310,0
1711085400000,66201.46000000,66306.89000000,66115.87000000,66278.00000000,249.47618000,1711086299999,16527251.05579690,15671,141.56939000,9378828.38882490,0
1711084500000,66000.46000000,66220.00000000,65938.34000000,66201.45000000,231.83709000,1711085399999,15322890.75688600,14603,120.66512000,7976006.08802610,0
1711083600000,66144.85000000,66248.96000000,65985.31000000,66000.45000000,280.85992000,1711084499999,18564515.87582190,19870,127.64130000,8438058.53369310,0
1711082700000,65925.49000000,66288.02000000,65876.00000000,66144.85000000,353.76260000,1711083599999,23397593.18143640,20737,219.81516000,14538592.44234080,0
1711081800000,65899.99000000,65959.63000000,65850.00000000,65925.50000000,235.96427000,1711082699999,15553399.03651750,18661,119.77815000,7894781.67664930,0
1711080900000,65921.85000000,65983.14000000,65827.07000000,65900.00000000,274.36909000,1711081799999,18077102.67619290,17229,116.85511000,7699464.85577280,0
1711080000000,65981.99000000,66047.59000000,65756.64000000,65921.86000000,345.93582000,1711080899999,22797232.70297930,22419,160.64209000,10587154.12599470,0
1711079100000,65827.99000000,66061.66000000,65827.39000000,65981.99000000,414.96693000,1711079999999,27375624.26625650,19371,220.28807000,14532394.79729980,0
1711078200000,65988.00000000,66160.00000000,65791.24000000,65828.00000000,650.00304000,1711079099999,42911527.51871010,27940,320.86262000,21192751.15469420,0
1711077300000,65627.59000000,65999.99000000,65620.00000000,65988.00000000,498.70456000,1711078199999,32859221.56020120,21496,327.72601000,21592831.79678600,0
1711076400000,65644.00000000,65773.84000000,65570.89000000,65627.59000000,292.17434000,1711077299999,19190358.64615060,17506,113.55900000,7459852.98569850,0
1711075500000,65476.08000000,65717.19000000,65366.81000000,65644.00000000,383.16356000,1711076399999,25122497.30323100,21139,235.67183000,15454734.70822870,0
1711074600000,65506.06000000,65539.68000000,65384.00000000,65476.09000000,230.28979000,1711075499999,15079148.96402370,19178,106.08333000,6946101.04905850,0
1711073700000,65253.19000000,65624.07000000,65200.00000000,65506.05000000,344.01383000,1711074599999,22499232.09761010,21943,172.58183000,11289357.04873200,0
1711072800000,65243.99000000,65358.00000000,65120.01000000,65253.19000000,616.31035000,1711073699999,40217550.00265490,25350,230.42453000,15037341.33812600,0
1711071900000,65649.99000000,65850.00000000,65212.73000000,65243.99000000,551.95773000,1711072799999,36154564.77923410,27056,209.74931000,13747650.24951830,0
1711071000000,65758.94000000,65758.95000000,65578.00000000,65650.00000000,256.81062000,1711071899999,16863341.44511470,17599,91.38851000,6000378.84227370,0
1711070100000,65882.93000000,65930.00000000,65750.00000000,65758.94000000,319.94745000,1711070999999,21065828.63005550,21103,129.54896000,8530001.88658610,0
1711069200000,65793.99000000,65916.26000000,65582.69000000,65882.94000000,431.56328000,1711070099999,28386007.15287190,24507,214.42682000,14105332.93114080,0
1711068300000,65651.60000000,65857.14000000,65566.65000000,65794.00000000,324.73738000,1711069199999,21341109.76062520,20409,169.03832000,11107861.13847310,0
1711067400000,65790.01000000,65790.01000000,65360.00000000,65651.61000000,427.97244000,1711068299999,28057617.83224110,25232,188.12640000,12335217.61825490,0
1711066500000,65788.99000000,65985.44000000,65692.00000000,65790.00000000,449.59495000,1711067399999,29596542.37563190,23024,197.49995000,13002565.52748860,0
